resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,average_watts,kilojoules,device_watts
2,Evening Swim,3150.0,5420,6328,0.0,Swim,Swim,11166733535,2024-04-12T18:04:35Z,2024-04-12T20:04:35Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.581,1.924,True,133.1,185.0,False,True,0.0,0.0,11933638360.0,11933638360,garmin_ping_333179856175,False,0,0,False,43791935,1,a11166733535,,2,,,,,
2,Evening Workout,0.0,3882,3882,0.0,Workout,Workout,11152338412,2024-04-10T18:53:14Z,2024-04-10T20:53:14Z,(GMT+02:00) Africa/Blantyre,7200.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,109.8,148.0,False,True,94.8,90.0,11918862709.0,11918862709,garmin_ping_332750102908,False,0,0,False,43791935,1,a11152338412,,2,,,,,
2,Afternoon Run,5370.4,1864,1867,22.0,Run,Run,11142753885,2024-04-09T15:47:51Z,2024-04-09T17:47:51Z,(GMT+01:00) Europe/Berlin,7200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,g10533793,"[49.48442188091576, 8.463334869593382]","[49.48433294892311, 8.462995318695903]",2.881,4.27,True,160.6,173.0,False,True,122.4,109.2,11909058881.0,11909058881,garmin_ping_332493763482,False,0,0,False,43791935,1,a11142753885,et_mH{hsr@HLD?Tc@n@c@lDm@P?PEDEzAm@FId@Cj@SJNZ~APb@FDHAZWdA_Bz@eAv@wAZUf@ZZKd@Cf@?RIlBwAh@SpAq@vAaAbA_@p@g@x@c@f@MnBeAhAi@d@[`@q@jAURIb@[j@YNYxA}@b@ULAb@SHAd@S`@a@n@Wd@Kj@[x@Qp@@tACXDd@Er@@b@H~@Xf@@h@PHAbCn@fA^v@NjAr@j@Dd@\b@Vx@^~@v@dAjAd@^lAdB\TBE?IKq@KoDGm@mAG_AYw@[}@OYSaAWq@g@qAWi@WYE}A_@o@e@c@Kc@Qa@Co@NOPmAp@cAC{@IcCTkAF_AX}@d@g@Z[^{Ax@[T[`@a@^c@PK@YN[H]Fi@@[Vc@`@m@Tk@b@c@RQFe@Ha@EWV]`@s@b@k@VoAr@kAj@uAt@g@Ce@MkAmAIAe@f@uApBMp@m@hAaC~Cw@p@Y@e@k@]mAYOWNc@X_@BgGdBe@Bm@Zo@dAAXD@HMZMJS,2,,77.8,,,
2,Afternoon Ride,22456.8,3526,3526,268.0,Ride,Ride,11071374180,2024-03-30T15:51:00Z,2024-03-30T16:51:00Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,b8124855,"[48.71617225930095, 9.464838774874806]","[48.71765040792525, 9.465218726545572]",6.369,13.12,True,140.9,182.0,False,True,484.0,261.4,11834442311.0,11834442311,garmin_ping_330330742617,False,0,0,False,43791935,1,a11071374180,giihHypwx@rEoD`Bw@xAa@lBADcDCgEDs@Ew@PwBJWJGdC@LK@oEEcHPGt@V`BPb@@JMj@wHBe@GkATiAAsJQsB_@oBaAwDQ}Bq@gDMcDi@iCmGqVaGeT_CeJo@}Cc@uC[qCa@oGQkAAc@DqMOuCSi@m@iAIe@@k@Fi@^aAFi@AmBMc@Ym@I_@QmIO}BeAuDoBwJU_B@kMIa@OYe@a@G[t@eHr@{Ed@oBdA{BRaAXsCF_BB{CCcBKiAi@eC]oDQuHBkEQqD?{@Eo@D_Ak@sBq@sAOk@OyAWu@wA{BeAoAy@_B}@mCc@iBmCsOkA}TA}A\gC@k@QgECcDD{ACwCOyCGiDIyR`@cl@O]YMmFKUQEONsICgBQmAiAwFWaD?cBPmCQyDXePCyECiAG]MSS@uCbE[hAs@nFu@dEYfAMzAk@pDq@nBi@vBIp@?zAGt@]TWKQi@c@uEs@mEWgAa@y@s@c@k@EWFc@Z_@r@WnA?|@z@`NArAU~CBtDW`@c@EUq@UqBOa@[Yu@Ia@XGXAp@Fd@d@dAJ`AgAzJSfAu@fGwAtGQnAMhDSbC[jAkBbCo@dAsAhDaAfBw@xB[`@iAr@kMdM}BzAkChCo@lAeApCyAzBk@~B_AnBaAxCKPmBdAw@r@wAfBcA~@sE|AcFxBiA|@wBjCcAhBoA`Bm@jAMr@g@`@i@p@e@`A?^a@d@k@^U\Mt@gAlBgAzCqDlOwCfJgAzCyAlDiNjYqDtHk@xAwFpSk@dC}AnFaArC}@zCUhA{@lCm@~@k@tAw@vAiIlKcA~BoCrHwA~Ca@hAC`@B`EK`DW~T[|Fe@lE@`@hAjDHf@BhAb@r@v@hAx@x@fD|BX\h@~@|Ax@dDnD`AjBF`@JtANRdDTnBk@fAKfFG|CJxBd@hBbA|Bt@|EAtGf@|AZxAj@jGtFn@b@zAd@dCb@nCBtEI`AHlCKlAc@nEoCfCmAdA]dBQ|MtBxBl@zAt@vBPzA]hEwCn@MbNfA~@DjAEb@QrAgA|FqGXo@~@sFT{@^m@v@{@pAs@hC_@bEgAr@EbALfBvAvCvClA|Ab@jAl@vBb@dEVjBRp@`@~B^zC`@jCv@`DhCtIFr@DlBWdHB|Bi@nG@hAKdA?dCIb@CvB@hAHx@LTXB|@k@`@y@HBb@vFBrBIfA,2,,,185.3,653.5,False
2,Afternoon Swim,2500.0,3315,3365,0.0,Swim,Swim,11071369686,2024-03-29T14:09:37Z,2024-03-29T15:09:37Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.754,2.084,True,148.0,182.0,False,True,0.0,0.0,11834437048.0,11834437048,garmin_ping_330330669089,False,0,0,False,43791935,1,a11071369686,,2,,,,,
2,Evening Swim,2775.0,5212,5295,0.0,Swim,Swim,11071362456,2024-03-24T17:02:33Z,2024-03-24T18:02:33Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.532,1.924,True,133.2,178.0,False,True,0.0,0.0,11834428039.0,11834428039,garmin_ping_330330633325,False,0,0,False,43791935,1,a11071362456,,2,,,,,
2,Night Workout,0.0,3400,3400,0.0,Workout,Workout,11071368178,2024-03-20T20:07:39Z,2024-03-20T21:07:39Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,107.7,141.0,False,True,239.8,233.6,11834435079.0,11834435079,garmin_ping_330330594688,False,0,0,False,43791935,1,a11071368178,,2,,,,,
2,Afternoon Swim,2000.0,3797,3904,0.0,Swim,Swim,11071371853,2024-03-19T14:14:28Z,2024-03-19T15:14:28Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.527,1.924,True,142.2,167.0,False,True,0.0,0.0,11834439413.0,11834439413,garmin_ping_330330557458,False,0,0,False,43791935,1,a11071371853,,2,,,,,
2,Evening Workout,0.0,3068,3068,0.0,Workout,Workout,11071367778,2024-03-17T17:53:57Z,2024-03-17T18:53:57Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,99.2,135.0,False,True,204.8,204.8,11834434638.0,11834434638,garmin_ping_330330518985,False,0,0,False,43791935,1,a11071367778,,2,,,,,
2,Evening Swim,3675.0,4843,4846,0.0,Swim,Swim,10966898033,2024-03-15T19:03:45Z,2024-03-15T20:03:45Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.759,1.924,True,146.3,193.0,False,True,0.0,0.0,11725143951.0,11725143951,garmin_ping_327161670661,False,0,0,False,43791935,1,a10966898033,,2,,,,,
